patient_id_short	cell_type_super	gene	pct.expressed	n_cells
003	Myeloid.cell	ALDH1A2	0.008978675645342313	5346
003	Myeloid.cell	ALDH1A3	0.010475121586232696	5346
003	Myeloid.cell	ALDH1B1	0.03909465020576132	5346
003	Myeloid.cell	ALDH1L1	3.741114852225963e-4	5346
003	Myeloid.cell	ALDH1L2	0.010101010101010102	5346
003	Myeloid.cell	ALDH2	0.7523381967826412	5346
003	Myeloid.cell	ALDH3A1	5.611672278338945e-4	5346
003	Myeloid.cell	ALDH3A2	0.24354657687991021	5346
003	Myeloid.cell	ALDH3B1	0.23718668163112608	5346
003	Myeloid.cell	ALDH3B2	0.0018705574261129816	5346
003	Myeloid.cell	ALDH4A1	0.02450430228208006	5346
003	Myeloid.cell	ALDH5A1	0.0074822297044519264	5346
003	Myeloid.cell	ALDH6A1	0.11391694725028058	5346
003	Myeloid.cell	ALDH7A1	0.12981668537224092	5346
003	Myeloid.cell	ALDH8A1	0.004863449307893753	5346
003	Myeloid.cell	ALDH9A1	0.3342686120463898	5346
003	Myeloid.cell	CD68	0.9564160119715676	5346
003	Myeloid.cell	NT5E	0.026748971193415638	5346
003	Myeloid.cell	PECAM1	0.4764309764309764	5346
003	Myeloid.cell	PROM1	1.8705574261129816e-4	5346
003	Ovarian.cancer.cell	ALDH16A1	0.3018094089264174	4145
003	Ovarian.cancer.cell	ALDH18A1	0.4764776839565742	4145
003	Ovarian.cancer.cell	ALDH1A1	0.01712907117008444	4145
003	Ovarian.cancer.cell	ALDH1A2	0.031363088057901084	4145
003	Ovarian.cancer.cell	ALDH1A3	0.08130277442702051	4145
003	Ovarian.cancer.cell	ALDH1B1	0.23015681544028951	4145
003	Ovarian.cancer.cell	ALDH1L1	0.07020506634499397	4145
003	Ovarian.cancer.cell	ALDH1L2	0.03594692400482509	4145
003	Ovarian.cancer.cell	ALDH2	0.41447527141133894	4145
003	Ovarian.cancer.cell	ALDH3A1	0.03498190591073583	4145
003	Ovarian.cancer.cell	ALDH3A2	0.5823884197828709	4145
003	Ovarian.cancer.cell	ALDH3B1	0.0991556091676719	4145
003	Ovarian.cancer.cell	ALDH3B2	0.6414957780458383	4145
003	Ovarian.cancer.cell	ALDH4A1	0.048492159227985526	4145
003	Ovarian.cancer.cell	ALDH5A1	0.31966224366706875	4145
003	Ovarian.cancer.cell	ALDH6A1	0.31218335343787695	4145
003	Ovarian.cancer.cell	ALDH7A1	0.8221954161640531	4145
003	Ovarian.cancer.cell	ALDH8A1	0.015199034981905911	4145
003	Ovarian.cancer.cell	ALDH9A1	0.5737032569360675	4145
003	Ovarian.cancer.cell	CD68	0.21302774427020507	4145
003	Ovarian.cancer.cell	NT5E	0.053317249698431844	4145
003	Ovarian.cancer.cell	PECAM1	0.027020506634499397	4145
003	Ovarian.cancer.cell	PROM1	0.03353437876960193	4145
007	Fibroblast	ALDH16A1	0.18353510895883776	2065
007	Fibroblast	ALDH18A1	0.22566585956416466	2065
007	Fibroblast	ALDH1A1	0.5937046004842615	2065
007	Fibroblast	ALDH1A2	0.3360774818401937	2065
007	Fibroblast	ALDH1A3	0.837772397094431	2065
007	Fibroblast	ALDH1B1	0.12106537530266344	2065
007	Fibroblast	ALDH1L1	0.03292978208232446	2065
007	Fibroblast	ALDH1L2	0.026150121065375304	2065
007	Fibroblast	ALDH2	0.6435835351089588	2065
007	Fibroblast	ALDH3A1	0.0043583535108958835	2065
007	Fibroblast	ALDH3A2	0.31476997578692495	2065
007	Fibroblast	ALDH3B1	0.3046004842615012	2065
007	Fibroblast	ALDH3B2	9.685230024213075e-4	2065
007	Fibroblast	ALDH4A1	0.04745762711864407	2065
007	Fibroblast	ALDH5A1	0.07021791767554479	2065
007	Fibroblast	ALDH6A1	0.20677966101694914	2065
007	Fibroblast	ALDH7A1	0.3641646489104116	2065
007	Fibroblast	ALDH8A1	0.05084745762711865	2065
007	Fibroblast	ALDH9A1	0.6430992736077482	2065
007	Fibroblast	CD68	0.30024213075060535	2065
007	Fibroblast	NT5E	0.2324455205811138	2065
007	Fibroblast	PECAM1	0.012590799031476998	2065
007	Fibroblast	PROM1	0	2065
007	Myeloid.cell	ALDH16A1	0.2696793002915452	686
007	Myeloid.cell	ALDH18A1	0.048104956268221574	686
007	Myeloid.cell	ALDH1A1	0.03935860058309038	686
007	Myeloid.cell	ALDH1A2	0.0014577259475218659	686
007	Myeloid.cell	ALDH1A3	0	686
007	Myeloid.cell	ALDH1B1	0.030612244897959183	686
007	Myeloid.cell	ALDH1L1	0.0014577259475218659	686
007	Myeloid.cell	ALDH1L2	0.0058309037900874635	686
007	Myeloid.cell	ALDH2	0.6559766763848397	686
007	Myeloid.cell	ALDH3A1	0	686
007	Myeloid.cell	ALDH3A2	0.12536443148688048	686
007	Myeloid.cell	ALDH3B1	0.14723032069970846	686
007	Myeloid.cell	ALDH3B2	0	686
007	Myeloid.cell	ALDH4A1	0.02040816326530612	686
007	Myeloid.cell	ALDH5A1	0.07871720116618076	686
007	Myeloid.cell	ALDH6A1	0.0728862973760933	686
007	Myeloid.cell	ALDH7A1	0.052478134110787174	686
007	Myeloid.cell	ALDH8A1	0.008746355685131196	686
007	Myeloid.cell	ALDH9A1	0.26384839650145775	686
007	Myeloid.cell	CD68	0.826530612244898	686
007	Myeloid.cell	NT5E	0.0014577259475218659	686
007	Myeloid.cell	PECAM1	0.5903790087463557	686
007	Myeloid.cell	PROM1	0	686
007	Ovarian.cancer.cell	ALDH16A1	0.06530389326675509	12817
007	Ovarian.cancer.cell	ALDH18A1	0.15744714051650152	12817
007	Ovarian.cancer.cell	ALDH1A1	0.05375672934384021	12817
007	Ovarian.cancer.cell	ALDH1A2	2.340641335725989e-4	12817
007	Ovarian.cancer.cell	ALDH1A3	0.054458921744558006	12817
007	Ovarian.cancer.cell	ALDH1B1	0.12077709292346103	12817
007	Ovarian.cancer.cell	ALDH1L1	4.681282671451978e-4	12817
007	Ovarian.cancer.cell	ALDH1L2	0.022002028555824296	12817
